Driver,Sector1Time,Sector2Time,Sector3Time
16,0 days 00:00:18.386000,0 days 00:00:33.174000,0 days 00:00:18.710000
81,0 days 00:00:18.303000,0 days 00:00:33.380000,0 days 00:00:18.741000
55,0 days 00:00:18.494000,0 days 00:00:33.241000,0 days 00:00:18.783000
4,0 days 00:00:18.466000,0 days 00:00:33.340000,0 days 00:00:18.736000
63,0 days 00:00:18.244000,0 days 00:00:33.462000,0 days 00:00:18.837000
1,0 days 00:00:18.255000,0 days 00:00:33.424000,0 days 00:00:18.888000
44,0 days 00:00:18.372000,0 days 00:00:33.439000,0 days 00:00:18.810000
22,0 days 00:00:18.595000,0 days 00:00:33.470000,0 days 00:00:18.793000
23,0 days 00:00:18.487000,0 days 00:00:33.597000,0 days 00:00:18.864000
10,0 days 00:00:18.481000,0 days 00:00:33.453000,0 days 00:00:18.962000
31,0 days 00:00:18.701000,0 days 00:00:33.539000,0 days 00:00:19.045000
3,0 days 00:00:18.770000,0 days 00:00:33.705000,0 days 00:00:19.007000
18,0 days 00:00:18.687000,0 days 00:00:33.774000,0 days 00:00:19.102000
27,0 days 00:00:18.670000,0 days 00:00:33.631000,0 days 00:00:19.139000
14,0 days 00:00:18.941000,0 days 00:00:33.959000,0 days 00:00:19.119000
2,0 days 00:00:18.800000,0 days 00:00:34.068000,0 days 00:00:19.152000
20,0 days 00:00:18.820000,0 days 00:00:33.812000,0 days 00:00:19.093000
11,0 days 00:00:18.831000,0 days 00:00:33.993000,0 days 00:00:19.236000
77,0 days 00:00:19.100000,0 days 00:00:34.008000,0 days 00:00:19.404000
24,0 days 00:00:19.387000,0 days 00:00:34.172000,0 days 00:00:19.469000
